Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
São Paulo;Santos;7-SPH-16D-SPS;7SPH16DSPS;NORDESTE DE SAPINHOÁ;Petrobras;4.86E+14;2023/07;197317;0;197317;0.9561;0;0.9561;16735;134975;FPSO CIDADE DE ILHA BELA;UEP;716;2023/02;Sapinhoá;30.1;< 270ºC;0.341;270ºC a 458ºC;0.2791;> 458ºC;0.3799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
São Paulo;Santos;7-SPH-8-SPS;7SPH8SPS;NORDESTE DE SAPINHOÁ;Petrobras;4.86E+14;2023/07;583601;0;583601;19848;0;19848;34742;25277;FPSO CIDADE DE ILHA BELA;UEP;707;2023/02;Sapinhoá;30.1;< 270ºC;0.341;270ºC a 458ºC;0.2791;> 458ºC;0.3799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
São Paulo;Santos;7-SPH-1-SPS;7SPH1SPS;NORDESTE DE SAPINHOÁ;Petrobras;4.86E+14;2023/07;213916;0;213916;0.6996;0;0.6996;12245;193846;FPSO CIDADE DE SÃO PAULO;UEP;701;2023/02;Sapinhoá;30.1;< 270ºC;0.341;270ºC a 458ºC;0.2791;> 458ºC;0.3799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
São Paulo;Santos;7-SPH-5-SPS;7SPH5SPS;NORDESTE DE SAPINHOÁ;Petrobras;4.86E+14;2023/07;290814;0;290814;14211;0;14211;24874;16022;FPSO CIDADE DE SÃO PAULO;UEP;626;2023/02;Sapinhoá;30.1;< 270ºC;0.341;270ºC a 458ºC;0.2791;> 458ºC;0.3799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
São Paulo;Santos;7-SPH-4D-SPS;7SPH4DSPS;NORDESTE DE SAPINHOÁ;Petrobras;4.86E+14;2023/07;371204;0;371204;12699;0;12699;22228;156979;FPSO CIDADE DE SÃO PAULO;UEP;689;2023/02;Sapinhoá;30.1;< 270ºC;0.341;270ºC a 458ºC;0.2791;> 458ºC;0.3799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
São Paulo;Santos;7-SPH-14D-SPS;7SPH14DSPS;NORDESTE DE SAPINHOÁ;Petrobras;4.86E+14;2023/07;351176;0;351176;42258;0;42258;73968;105843;FPSO CIDADE DE ILHA BELA;UEP;716;2023/02;Sapinhoá;30.1;< 270ºC;0.341;270ºC a 458ºC;0.2791;> 458ºC;0.3799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
Rio de Janeiro;Santos;7-BUZ-10-RJS;7BUZ10RJS;TAMBUATÁ;Petrobras;4.86E+16;2023/07;2888035;0;2888035;12952;0;12952;105161;0;Petrobras 75 (P-75);UEP;501;2023/02;Búzios;28.7;< 270ºC;0.321;270ºC a 458ºC;0.273;> 458ºC;0.406;62.65;10.65;7.03;1.11;2.44;0.51;0.71;0.48;0.23;0.09;0.02;0.01;0;0.06;0.97;13.04;203297;53199258;351857868;04/09/2023 02:36
Rio de Janeiro;Santos;3-BRSA-1184-RJS;3RJS723;TAMBUATÁ;Petrobras;4.86E+16;2023/07;1697169;0;1697169;6395;0;6395;51923;0.017;Petrobras 77;UEP;544;2023/02;Búzios;28.7;< 270ºC;0.321;270ºC a 458ºC;0.273;> 458ºC;0.406;62.65;10.65;7.03;1.11;2.44;0.51;0.71;0.48;0.23;0.09;0.02;0.01;0;0.06;0.97;13.04;203297;53199258;351857868;04/09/2023 02:36
Rio de Janeiro;Santos;7-BUZ-12-RJS;7BUZ12RJS;TAMBUATÁ;Petrobras;4.86E+16;2023/07;3065698;0;3065698;115873;0;115873;94081;0.0306;Petrobras 77;UEP;533;2023/02;Búzios;28.7;< 270ºC;0.321;270ºC a 458ºC;0.273;> 458ºC;0.406;62.65;10.65;7.03;1.11;2.44;0.51;0.71;0.48;0.23;0.09;0.02;0.01;0;0.06;0.97;13.04;203297;53199258;351857868;04/09/2023 02:36
Rio de Janeiro;Santos;9-BUZ-4-RJS;9BUZ4RJS;BÚZIOS_ECO;Petrobras;4.86E+16;2023/07;296968745;0;296968745;12417746;0;12417746;10082382;0;Petrobras 77;UEP;541;2023/02;Búzios;28.7;< 270ºC;0.321;270ºC a 458ºC;0.273;> 458ºC;0.406;62.65;10.65;7.03;1.11;2.44;0.51;0.71;0.48;0.23;0.09;0.02;0.01;0;0.06;0.97;13.04;203297;53199258;351857868;04/09/2023 02:36
