Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Sergipe;Sergipe;7-RO-499-SE;7RO499SE;RIACHUELO;Carmo;4.80E+14;2023/07;38916;0;38916;0.0202;0;0.0202;0.626;72996;Estação Coletora de Coqueiro;INSTALACAO EMB/DESEMB;744;2021/02;Sergipano Terra;24.5;< 290ºC;0.2694;290ºC a 380ºC;0.1436;> 380ºC;0.587;7395225;348575;473015;178295;23053;128725;0.66005;0.18835;0;0;0;0;0;0;0.4165;1119145;210817;54101718;339648925;04/09/2023 02:36
Bahia;Recôncavo;1-LM-1-BA;1LM  0001  BA;LAMARÃO;Petrobras;4.80E+14;2023/07;0;0;0;0;0.0744;0.0744;2302;0;Estação Lamarão;INSTALACAO EMB/DESEMB;744;2022/02;Baiano Mistura;36.5;< 210ºC;0.191;210ºC a 500ºC;0.497;> 500ºC;0.312;84139;8068;3.25;0.611;0.897;0.29;0.342;0.36;0.316;0.204;0.052;0;0;0.012;0.42;1039;202341;53081695;395945525;04/09/2023 02:36
Sergipe;Sergipe;7-RO-497-SE;7RO497SE;RIACHUELO;Carmo;4.80E+14;2023/07;297543;0;297543;0.1544;0;0.1544;4787;2132341;Estação Coletora de Coqueiro;INSTALACAO EMB/DESEMB;744;2021/02;Sergipano Terra;24.5;< 290ºC;0.2694;290ºC a 380ºC;0.1436;> 380ºC;0.587;7395225;348575;473015;178295;23053;128725;0.66005;0.18835;0;0;0;0;0;0;0.4165;1119145;210817;54101718;339648925;04/09/2023 02:36
Ceará;Potiguar;7-FZB-892-CE;7FZB892CE;FAZENDA BELÉM CE;3R Fazenda Belém;4.80E+14;2023/07;45707;0;45707;0.0057;0;0.0057;0.177;459523;Estação Coletora Faz. Belém 9 (Faz. Belém);INSTALACAO EMB/DESEMB;744;2017/02;Fazenda Belém;13.2;< 290ºC;0.0806;290ºC a 380ºC;0.1043;> 380ºC;0.8151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
Sergipe;Sergipe;7-RO-486D-SE;7RO486DSE;RIACHUELO;Carmo;4.80E+14;2023/07;72199;0;72199;0.0375;0;0.0375;1162;2831252;Estação Coletora de Coqueiro;INSTALACAO EMB/DESEMB;662;2021/02;Sergipano Terra;24.5;< 290ºC;0.2694;290ºC a 380ºC;0.1436;> 380ºC;0.587;7395225;348575;473015;178295;23053;128725;0.66005;0.18835;0;0;0;0;0;0;0.4165;1119145;210817;54101718;339648925;04/09/2023 02:36
Bahia;Recôncavo;4-BRSA-612D-BA;4LM19DBA;LAMARÃO;Petrobras;4.80E+14;2023/07;0;56387;56387;0;41125;41125;127275;22893;Estação Lamarão;INSTALACAO EMB/DESEMB;622;2022/02;Baiano Mistura;36.5;< 210ºC;0.191;210ºC a 500ºC;0.497;> 500ºC;0.312;84139;8068;3.25;0.611;0.897;0.29;0.342;0.36;0.316;0.204;0.052;0;0;0.012;0.42;1039;202341;53081695;395945525;04/09/2023 02:36
Sergipe;Sergipe;7-RO-485D-SE;7RO485DSE;RIACHUELO;Carmo;4.80E+14;2023/07;86558;0;86558;0.0449;0;0.0449;1393;239966;Estação Coletora de Coqueiro;INSTALACAO EMB/DESEMB;744;2021/02;Sergipano Terra;24.5;< 290ºC;0.2694;290ºC a 380ºC;0.1436;> 380ºC;0.587;7395225;348575;473015;178295;23053;128725;0.66005;0.18835;0;0;0;0;0;0;0.4165;1119145;210817;54101718;339648925;04/09/2023 02:36
Ceará;Potiguar;7-FZB-893-CE;7FZB893CE;FAZENDA BELÉM CE;3R Fazenda Belém;4.80E+14;2023/07;3588;0;3588;0.0043;0;0.0043;0.133;842871;Estação Coletora Faz. Belém 10 (ET-III);INSTALACAO EMB/DESEMB;744;2017/02;Fazenda Belém;13.2;< 290ºC;0.0806;290ºC a 380ºC;0.1043;> 380ºC;0.8151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
Sergipe;Sergipe;7-RO-476-SE;7RO476SE;RIACHUELO;Carmo;4.80E+14;2023/07;16546;0;16546;0.0086;0;0.0086;0.266;181422;Estação Coletora de Coqueiro;INSTALACAO EMB/DESEMB;126;2021/02;Sergipano Terra;24.5;< 290ºC;0.2694;290ºC a 380ºC;0.1436;> 380ºC;0.587;7395225;348575;473015;178295;23053;128725;0.66005;0.18835;0;0;0;0;0;0;0.4165;1119145;210817;54101718;339648925;04/09/2023 02:36
Bahia;Recôncavo;7-LM-17-BA;7LM  0017  BA;LAMARÃO;Petrobras;4.80E+14;2023/07;0;0;0;0;0.1207;0.1207;3735;0;Estação Lamarão;INSTALACAO EMB/DESEMB;600;2022/02;Baiano Mistura;36.5;< 210ºC;0.191;210ºC a 500ºC;0.497;> 500ºC;0.312;84139;8068;3.25;0.611;0.897;0.29;0.342;0.36;0.316;0.204;0.052;0;0;0.012;0.42;1039;202341;53081695;395945525;04/09/2023 02:36
Sergipe;Sergipe;7-RO-472-SE;7RO472SE;RIACHUELO;Carmo;4.80E+14;2023/07;53652;0;53652;0.0278;0;0.0278;0.863;776021;Estação Coletora de Coqueiro;INSTALACAO EMB/DESEMB;738;2021/02;Sergipano Terra;24.5;< 290ºC;0.2694;290ºC a 380ºC;0.1436;> 380ºC;0.587;7395225;348575;473015;178295;23053;128725;0.66005;0.18835;0;0;0;0;0;0;0.4165;1119145;210817;54101718;339648925;04/09/2023 02:36
Ceará;Potiguar;7-FZB-894-CE;7FZB894CE;FAZENDA BELÉM CE;3R Fazenda Belém;4.80E+14;2023/07;2042;0;2042;0.0025;0;0.0025;0.077;53248;Estação Coletora de Fazenda Belém 8;INSTALACAO EMB/DESEMB;744;2017/02;Fazenda Belém;13.2;< 290ºC;0.0806;290ºC a 380ºC;0.1043;> 380ºC;0.8151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-ARG-80-RN;7ARG 0080  RN;ALTO DO RODRIGUES;3R Potiguar;4.80E+14;2023/07;0;0;0;0;0;0;0;0;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;0;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;79243;0.034;0;0.002;0.002;0.004;0.005;0.01;0.005;0;0;0;0;0.264;19.24;1211;244864;58083019;299104577;04/09/2023 02:36
Rio Grande do Norte;Potiguar;3-LV-42-RN;3LV  0042  RN;LIVRAMENTO;Potiguar E&P S.A.;4.80E+14;2023/07;50122;0;50122;44462;0;44462;137314;24725;Estação Coleta de Livramento;INSTALACAO EMB/DESEMB;744;;;;;;;;;;783124;98963;61076;0.9501;15873;0.34;0.3856;0.192;0.0874;0.0295;0.0161;0.0017;0;0.005;17875;0.3015;200762;5289625;400130337;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-ARG-798D-RN;7ARG798DRN;ALTO DO RODRIGUES;3R Potiguar;4.80E+14;2023/07;0;0;0;0;0;0;0;0;Estação Coletora B de Alto do Rodrigues;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;79243;0.034;0;0.002;0.002;0.004;0.005;0.01;0.005;0;0;0;0;0.264;19.24;1211;244864;58083019;299104577;04/09/2023 02:36
Alagoas;Alagoas;7-PIR-194D-AL;7PIR194DAL;PILAR;Origem Alagoas;4.80E+14;2023/07;0;0;0;0;233412;233412;650918;0;Estação Coletora de Pilar;INSTALACAO EMB/DESEMB;742;2017/02;Alagoano;40.8;< 210ºC;0.3074;210ºC a 500ºC;0.4866;> 500ºC;0.206;83.76;6.19;3.62;0.64;1.44;0.32;0.37;0.3;0.05;0;0;0;0;0;2.9;0.41;205005;53404612;382936838;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-ARG-796D-RN;7ARG796DRN;ALTO DO RODRIGUES;3R Potiguar;4.80E+14;2023/07;48805;0;48805;0.003;0;0.003;0.094;6504814;Estação Coletora B de Alto do Rodrigues;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;79243;0.034;0;0.002;0.002;0.004;0.005;0.01;0.005;0;0;0;0;0.264;19.24;1211;244864;58083019;299104577;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-LV-46D-RN;7LV46DRN;LIVRAMENTO;Potiguar E&P S.A.;4.80E+14;2023/07;18.22;0;18.22;23283;0;23283;71906;311358;Estação Coleta de Livramento;INSTALACAO EMB/DESEMB;743;;;;;;;;;;783124;98963;61076;0.9501;15873;0.34;0.3856;0.192;0.0874;0.0295;0.0161;0.0017;0;0.005;17875;0.3015;200762;5289625;400130337;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-ARG-795-RN;7ARG795RN;ALTO DO RODRIGUES;3R Potiguar;4.80E+14;2023/07;61618;0;61618;0.0038;0;0.0038;0.119;1290602;Estação Coletora B de Alto do Rodrigues;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;79243;0.034;0;0.002;0.002;0.004;0.005;0.01;0.005;0;0;0;0;0.264;19.24;1211;244864;58083019;299104577;04/09/2023 02:36
Alagoas;Alagoas;7-PIR-172D-AL;7PIR172DAL;PILAR;Origem Alagoas;4.80E+14;2023/07;20596;0;20596;0.8433;0;0.8433;23516;82656;Estação Coletora de Pilar;INSTALACAO EMB/DESEMB;426;2017/02;Alagoano;40.8;< 210ºC;0.3074;210ºC a 500ºC;0.4866;> 500ºC;0.206;83.76;6.19;3.62;0.64;1.44;0.32;0.37;0.3;0.05;0;0;0;0;0;2.9;0.41;205005;53404612;382936838;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-ARG-793D-RN;7ARG793DRN;ALTO DO RODRIGUES;3R Potiguar;4.80E+14;2023/07;69444;0;69444;0.0043;0;0.0043;0.133;299839;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;735;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;79243;0.034;0;0.002;0.002;0.004;0.005;0.01;0.005;0;0;0;0;0.264;19.24;1211;244864;58083019;299104577;04/09/2023 02:36
Espírito Santo;Espírito Santo;7-LPN-31-ES;7LPN 0031  ES;LAGOA PARDA NORTE;Capixaba Energia;4.80E+14;2023/07;0;0;0;13098;0;13098;40603;0;Estação de Coleta e Tratamento de Lagoa Parda;INSTALACAO EMB/DESEMB;281;;;;;;;;;;91.2;4.06;0.41;0.16;0.19;0.1;0.12;0.36;0.28;0.07;0.1;0.03;0;0;0.68;2.24;211664;54180378;377623951;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-ARG-792D-RN;7ARG792DRN;ALTO DO RODRIGUES;3R Potiguar;4.80E+14;2023/07;70235;0;70235;0.0044;0;0.0044;0.135;2319982;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;79243;0.034;0;0.002;0.002;0.004;0.005;0.01;0.005;0;0;0;0;0.264;19.24;1211;244864;58083019;299104577;04/09/2023 02:36
Alagoas;Alagoas;7-PIR-55-AL;7PIR 0055  AL;PILAR;Origem Alagoas;4.80E+14;2023/07;0;0;0;99057;0;99057;276242;0;Estação Coletora de Pilar;INSTALACAO EMB/DESEMB;706;2017/02;Alagoano;40.8;< 210ºC;0.3074;210ºC a 500ºC;0.4866;> 500ºC;0.206;83.76;6.19;3.62;0.64;1.44;0.32;0.37;0.3;0.05;0;0;0;0;0;2.9;0.41;205005;53404612;382936838;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-ARG-791D-RN;7ARG791DRN;ALTO DO RODRIGUES;3R Potiguar;4.80E+14;2023/07;140504;0;140504;0.0087;0;0.0087;0.27;2586096;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;711;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;79243;0.034;0;0.002;0.002;0.004;0.005;0.01;0.005;0;0;0;0;0.264;19.24;1211;244864;58083019;299104577;04/09/2023 02:36
Ceará;Potiguar;7-FZB-256-CE;7FZB 0256  CE;FAZENDA BELÉM CE;3R Fazenda Belém;4.80E+14;2023/07;148535;0;148535;0.018;0;0.018;0.558;752616;Estação Coletora de Fazenda Belém 8;INSTALACAO EMB/DESEMB;744;2017/02;Fazenda Belém;13.2;< 290ºC;0.0806;290ºC a 380ºC;0.1043;> 380ºC;0.8151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-ARG-79-RN;7ARG 0079  RN;ALTO DO RODRIGUES;3R Potiguar;4.80E+14;2023/07;33736;0;33736;0.0021;0;0.0021;0.065;1866712;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;79243;0.034;0;0.002;0.002;0.004;0.005;0.01;0.005;0;0;0;0;0.264;19.24;1211;244864;58083019;299104577;04/09/2023 02:36
Alagoas;Alagoas;3-PIR-52-AL;3PIR 0052  AL;PILAR;Origem Alagoas;4.80E+14;2023/07;0;579411;579411;0;769175;769175;2145004;206671;Estação Coletora de Pilar;INSTALACAO EMB/DESEMB;726;2017/02;Alagoano;40.8;< 210ºC;0.3074;210ºC a 500ºC;0.4866;> 500ºC;0.206;83.76;6.19;3.62;0.64;1.44;0.32;0.37;0.3;0.05;0;0;0;0;0;2.9;0.41;205005;53404612;382936838;04/09/2023 02:36
