Setor;Bloco;Nº de Ofertas;Área Arrematada (Km2);Empresa / Consórcio (*operador);Bônus;Ágio(%) Bônus;PEM (UT);Ágio(%) PEM;PEM (R$);Pontos
SAM-O;AM-T-62;1;2811.58;Eneva (100%)*;1882500;150;3138;70.73;18828000;1000000
SAM-O;AM-T-84;1;2529.41;Eneva (100%)*;4828000;750;4138;150.18;24828000;1000000
SAM-O;AM-T-85;1;1883.3;Eneva (100%)*;9580000;1900;4138;236.15;24828000;1000000
SC-AUP4;C-M-757;1;702.34;Shell Brasil (100%)*;12055000;0;165;52.78;29040000;1000000
SES-T4;ES-T-305;1;20.29;"Imetame (50%)*; ENP Ecossistemas (50%)";50878;1.76;133;0;798000;1000000
SES-T4;ES-T-409;1;15.45;"Imetame (50%)*; ENP Ecossistemas (50%)";50878;1.76;101;0;606000;1000000
SES-T6;ES-T-429;1;21.88;"Imetame (50%)*; ENP Ecossistemas (50%)";50878;1.76;143;0;858000;1000000
SES-T6;ES-T-466;1;22.08;"Imetame (50%)*; ENP Ecossistemas (50%)";50878;1.76;144;0;864000;1000000
SES-T6;ES-T-486A;1;10.45;"Imetame (50%)*; ENP Ecossistemas (50%)";50878;1.76;68;0;408000;1000000
SES-T6;ES-T-517;1;27.55;"Imetame (50%)*; ENP Ecossistemas (50%)";50878;1.76;180;0;1080000;1000000
SES-T6;ES-T-527;1;29.93;"Imetame (50%)*; ENP Ecossistemas (50%)";50878;1.76;196;0;1176000;1000000
SPAR-CN;PAR-T-196;1;2863.45;"Eneva (70%)*; Enauta Energia (30%)";506000;0;1872;0;11232000;1000000
SPAR-CN;PAR-T-215;1;2853.6;"Eneva (70%)*; Enauta Energia (30%)";569000;0;1866;0;11196000;1000000
SPAR-N;PAR-T-86;1;2917.98;"Eneva (70%)*; Enauta Energia (30%)";442000;0;1908;0;11448000;1000000
SPAR-N;PAR-T-99;1;2909.44;"Eneva (70%)*; Enauta Energia (30%)";593000;0;1902;0;11412000;1000000
SPOT-T4;POT-T-702;1;17.18;PetroRecôncavo (100%)*;75000;50;1000;792.86;6000000;1000000
STUC-S;TUC-T-172;1;182.18;Petroborn (100%)*;50000;0;400;0;2400000;1000000
