Setor;Bloco;Nº de Ofertas;Área Arrematada (Km2);Empresa / Consórcio (*operador);Bônus;Ágio(%) Bônus;PEM (UT);Ágio(%) PEM;PEM (R$);Pontos
SES-T4;ES-T-399;1;16.16;CE Engenharia (100%)*;205000;310;130;23.81;1040000;1000000
SES-T6;ES-T-528;1;20.64;"Imetame (30%)*; ENP Ecossistemas (20%); Seacrest (50%)";150878;201.76;134;0;1072000;1000000
SPOT-T3;POT-T-281;1;17.07;Petro-Victory (100%)*;56000;12;111;0;888000;1000000
SPOT-T3;POT-T-304;1;29.1;Petro-Victory (100%)*;56000;12;189;0;1512000;1000000
SPOT-T3;POT-T-326;1;31.93;3R Petroleum O&G (100%)*;50000;0;208;0;1664000;1000000
SPOT-T3;POT-T-327;2;25.09;Petro-Victory (100%)*;56000;12;163;0;1304000;1000000
SPOT-T2;POT-T-352;1;21.45;Petro-Victory (100%)*;56000;12;139;0;1112000;1000000
SPOT-T3;POT-T-353;2;31.93;3R Petroleum O&G (100%)*;100000;100;208;0;1664000;1000000
SPOT-T3;POT-T-354;1;31.93;Petro-Victory (100%)*;56000;12;208;0;1664000;1000000
SPOT-T3;POT-T-355;1;31.81;Petro-Victory (100%)*;56000;12;207;0;1656000;1000000
SPOT-T2;POT-T-391;1;18.97;Petro-Victory (100%)*;56000;12;123;0;984000;1000000
SPOT-T3;POT-T-393;1;31.93;Petro-Victory (100%)*;56000;12;208;0;1664000;1000000
SPOT-T3;POT-T-435;1;37.64;Petro-Victory (100%)*;56000;12;245;0;1960000;1000000
SPOT-T3;POT-T-436;1;19.76;Petro-Victory (100%)*;56000;12;128;0;1024000;1000000
SPOT-T3;POT-T-437;1;39.52;3R Petroleum O&G (100%)*;700000;1300;400;55.64;3200000;1000000
SPOT-T2;POT-T-474;1;30.8;Petro-Victory (100%)*;56000;12;200;0;1600000;1000000
SPOT-T4;POT-T-520;1;17.11;Petro-Victory (100%)*;56000;12;111;0;888000;1000000
SPOT-T5;POT-T-524;1;31.8;3R Petroleum O&G (100%)*;50000;0;207;0;1656000;1000000
SPOT-T5;POT-T-525;1;43.92;3R Petroleum O&G (100%)*;50000;0;285;0;2280000;1000000
SPOT-T5;POT-T-568;1;32.07;3R Petroleum O&G (100%)*;50000;0;208;0;1664000;1000000
SPOT-T4;POT-T-605;1;23.7;Petro-Victory (100%)*;56000;12;154;0;1232000;1000000
SPOT-T4;POT-T-608;1;31.92;Petro-Victory (100%)*;56000;12;207;0;1656000;1000000
SPOT-T4;POT-T-609;1;22.04;Petro-Victory (100%)*;56000;12;143;0;1144000;1000000
SPOT-T4;POT-T-654;1;32.18;Petro-Victory (100%)*;56000;12;209;0;1672000;1000000
SPOT-T4;POT-T-655;1;31.92;Petro-Victory (100%)*;56000;12;207;0;1656000;1000000
SPOT-T4;POT-T-696;1;31.98;Petro-Victory (100%)*;56000;12;208;0;1664000;1000000
SPOT-T4;POT-T-697;1;31.91;Petro-Victory (100%)*;56000;12;207;0;1656000;1000000
SREC-T1;REC-T-103;2;28.12;Petroborn (100%)*;360500;621;181;0;1448000;1000000
SREC-T3;REC-T-165;1;34.37;Petroborn (100%)*;211500;323;223;0;1784000;1000000
SREC-T3;REC-T-191;1;31.32;"NTF (50%)*; Newo (50%)";80000;60;204;0;1632000;1000000
SREC-T2;REC-T-24;3;35.51;NTF (100%)*;501000;902;1200;419.48;9600000;1000000
SSEAL-T2;SEAL-T-102;1;18.39;Origem (100%)*;75016.1;50.03;120;0;960000;1000000
SSEAL-T2;SEAL-T-103;1;25.63;Origem (100%)*;75016.1;50.03;167;0;1336000;1000000
SSEAL-T2;SEAL-T-110;1;25.3;Origem (100%)*;75016.1;50.03;164;0;1312000;1000000
SSEAL-T2;SEAL-T-117;1;31.45;Origem (100%)*;75016.1;50.03;204;0;1632000;1000000
SSEAL-T2;SEAL-T-120;1;15.26;Origem (100%)*;75016.1;50.03;99;0;792000;1000000
SSEAL-T2;SEAL-T-141;1;20.85;Origem (100%)*;75016.1;50.03;136;0;1088000;1000000
SSEAL-T2;SEAL-T-151;1;22.82;Origem (100%)*;75016.1;50.03;148;0;1184000;1000000
SSEAL-T2;SEAL-T-153;1;24.48;Origem (100%)*;75016.1;50.03;159;0;1272000;1000000
SSEAL-T2;SEAL-T-166;1;27.84;Origem (100%)*;75016.1;50.03;181;0;1448000;1000000
SSEAL-T2;SEAL-T-167;1;26.25;Origem (100%)*;75016.1;50.03;171;0;1368000;1000000
SSEAL-T2;SEAL-T-179;1;29.66;Origem (100%)*;75016.1;50.03;193;0;1544000;1000000
SSEAL-T3;SEAL-T-187;1;31.59;Origem (100%)*;75016.1;50.03;205;0;1640000;1000000
SSEAL-T3;SEAL-T-252;1;31.42;Origem (100%)*;75016.1;50.03;204;0;1632000;1000000
SSEAL-T3;SEAL-T-253;1;23.26;Origem (100%)*;75016.1;50.03;151;0;1208000;1000000
SS-AP4;S-M-1599;2;686.61;"Shell Brasil (70%)*; Ecopetrol Óleo e Gás (30%)";44022000.14;480;180;69.81;41400000;994595
SS-AP4;S-M-1601;2;686.61;"Shell Brasil (70%)*; Ecopetrol Óleo e Gás (30%)";37468000.14;480;180;69.81;41400000;994595
SS-AP4;S-M-1711;2;685.11;TotalEnergies EP (100%)*;150000000;2846.95;185;74.53;42550000;1000000
SS-AP4;S-M-1713;2;685.11;"Shell Brasil (70%)*; Ecopetrol Óleo e Gás (30%)";24882000.14;480;180;69.81;41400000;994595
SS-AP4;S-M-1815;2;683.59;TotalEnergies EP (100%)*;125000000;2553.93;185;76.19;42550000;1000000
SS-AP4;S-M-1817;2;683.59;"Shell Brasil (70%)*; Ecopetrol Óleo e Gás (30%)";24534000.14;480;179;70.48;41170000;993514
SS-AP4;S-M-1908;1;682.05;"Shell Brasil (70%)*; Ecopetrol Óleo e Gás (30%)";4660114.14;0;125;19.05;28750000;1000000
SS-AP4;S-M-1910;1;682.05;"Shell Brasil (70%)*; Ecopetrol Óleo e Gás (30%)";4660114.14;0;125;19.05;28750000;1000000
STUC-S;TUC-T-140;1;189.89;"Imetame (30%)*; ENP Ecossistemas (70%)";108878;117.76;410;0;3280000;1000000
STUC-S;TUC-T-146;1;188.07;Origem (100%)*;350016.1;600.03;406;0;3248000;1000000
STUC-S;TUC-T-154;1;187.99;Origem (100%)*;520016.1;940.03;406;0;3248000;1000000
STUC-S;TUC-T-161;2;188.44;"Imetame (30%)*; ENP Ecossistemas (70%)";1203878;2307.76;1000;145.7;8000000;1000000
STUC-S;TUC-T-167;1;187.82;Origem (100%)*;250016.1;400.03;406;0;3248000;1000000
STUC-S;TUC-T-177;2;188.19;Origem (100%)*;140016.1;180.03;405;0;3240000;1000000
